CustomerID,SubscriptionDuration,PaymentFrequency,UsageFrequency,CustomerSupportInteractions,Churn
165,20,monthly,monthly,7,0
166,26,monthly,monthly,9,1
167,24,monthly,daily,0,0
168,21,annually,daily,24,0
169,30,monthly,daily,13,1
170,4,monthly,monthly,16,0
171,10,annually,monthly,16,0
172,10,annually,weekly,22,0
173,24,annually,daily,6,0
174,4,annually,weekly,26,0
175,27,annually,monthly,12,0
176,4,monthly,weekly,1,0
177,32,annually,daily,20,0
178,10,monthly,monthly,26,0
179,11,annually,weekly,23,0
180,28,annually,daily,23,0
181,8,monthly,daily,2,0
182,22,monthly,monthly,11,1
183,34,annually,daily,4,0
184,35,annually,monthly,7,0
185,35,annually,weekly,5,0
186,25,annually,weekly,25,1
187,34,annually,daily,2,0
188,6,monthly,weekly,22,0
189,1,monthly,daily,25,0
190,12,monthly,daily,18,0
191,35,annually,daily,11,0
192,6,annually,daily,17,1
193,17,annually,daily,24,1
194,9,annually,weekly,28,0
195,2,annually,monthly,25,0
196,18,annually,daily,8,0
197,28,monthly,monthly,25,0
198,26,annually,daily,3,0
199,4,annually,weekly,28,0
200,31,monthly,daily,27,0
201,30,monthly,daily,18,0
202,34,annually,monthly,17,0
203,19,annually,weekly,9,0
204,18,annually,weekly,0,0
205,30,monthly,weekly,28,0
206,21,annually,daily,4,1
207,3,annually,monthly,13,0
208,6,monthly,weekly,5,0
209,13,annually,weekly,25,0
210,3,monthly,weekly,0,0
211,28,annually,monthly,14,0
212,22,annually,monthly,12,0
213,12,annually,weekly,5,0
214,23,annually,monthly,22,0
215,31,annually,daily,14,0
216,18,monthly,monthly,3,0
217,7,annually,monthly,19,0
218,8,annually,monthly,12,0
219,19,annually,daily,6,0
220,29,annually,monthly,0,1
221,20,monthly,weekly,26,0
222,30,annually,weekly,16,1
223,22,annually,weekly,22,1
224,10,annually,monthly,8,0
225,26,monthly,daily,28,0
226,33,annually,monthly,13,0
227,28,annually,daily,16,0
228,10,annually,daily,18,0
229,29,annually,weekly,13,0
230,18,monthly,monthly,29,0
231,1,monthly,monthly,16,1
232,23,annually,daily,4,1
233,17,annually,weekly,5,0
234,31,monthly,daily,28,1
235,25,annually,daily,21,0
236,4,annually,monthly,22,0
237,9,annually,weekly,1,0
238,28,annually,daily,0,1
239,30,annually,daily,23,0
240,24,monthly,weekly,21,0
241,33,annually,daily,18,0
242,20,annually,daily,2,0
243,9,annually,daily,0,1
244,8,monthly,monthly,19,0
245,24,annually,weekly,13,0
246,14,monthly,monthly,27,0
247,18,monthly,daily,9,0
248,1,annually,weekly,14,1
249,12,monthly,monthly,27,0
250,29,monthly,weekly,5,1
251,26,annually,monthly,23,0
252,33,monthly,monthly,3,0
253,15,monthly,weekly,6,0
254,23,annually,monthly,9,0
255,29,annually,daily,27,1
256,21,annually,daily,4,0
257,19,annually,weekly,7,0
258,5,annually,monthly,22,1
259,23,annually,weekly,27,0
260,20,monthly,monthly,2,0
261,8,annually,monthly,25,0
262,9,monthly,weekly,4,0
263,14,monthly,monthly,13,0
264,6,annually,daily,12,0
265,1,annually,daily,29,0
266,9,annually,daily,24,1
267,16,annually,daily,2,1
268,16,monthly,monthly,19,0
269,12,annually,monthly,29,1
270,5,annually,monthly,11,0
271,29,monthly,daily,19,0
272,27,annually,weekly,6,0
273,11,monthly,daily,27,0
274,28,monthly,monthly,9,0
275,19,monthly,weekly,0,0
276,35,monthly,daily,23,0
277,31,annually,monthly,7,0
278,19,annually,monthly,0,1
279,24,annually,daily,26,0
280,2,annually,monthly,7,1
281,7,annually,daily,0,1
282,31,annually,monthly,4,0
283,17,annually,daily,13,0
284,27,monthly,monthly,7,0
285,10,monthly,daily,21,1
286,14,monthly,weekly,26,0
287,7,monthly,monthly,22,1
288,9,monthly,weekly,17,0
289,14,monthly,monthly,3,0
290,8,annually,weekly,17,1
291,17,monthly,weekly,29,0
292,23,annually,weekly,10,1
293,16,monthly,weekly,5,0
294,26,annually,weekly,8,1
295,9,annually,daily,20,0
296,7,annually,weekly,19,0
297,18,monthly,monthly,11,0
298,8,annually,daily,21,0
299,21,annually,weekly,16,0
300,26,monthly,weekly,2,0
301,3,annually,monthly,26,0
302,17,annually,weekly,27,0
303,24,monthly,daily,10,0
304,25,monthly,daily,8,0
305,5,monthly,weekly,29,0
306,24,monthly,monthly,18,0
307,31,annually,monthly,25,0
308,26,monthly,weekly,1,0
309,21,monthly,daily,2,0
310,34,annually,daily,18,1
311,24,monthly,daily,1,0
312,28,annually,daily,14,0
313,30,monthly,daily,0,1
314,34,monthly,weekly,29,0
315,23,monthly,monthly,27,0
316,8,monthly,daily,24,0
317,10,monthly,daily,1,0
318,1,monthly,weekly,3,1
319,20,annually,weekly,4,1
320,18,monthly,monthly,11,0
321,21,annually,daily,26,0
322,4,annually,monthly,20,0
323,2,annually,weekly,25,0
324,21,monthly,weekly,11,1
325,5,annually,monthly,22,0
326,17,monthly,monthly,15,0
327,11,monthly,monthly,1,0
328,31,annually,daily,5,1
329,28,annually,monthly,24,0
330,32,annually,weekly,28,0
331,21,annually,daily,0,0
332,7,monthly,weekly,1,0
333,10,annually,monthly,2,0
334,28,monthly,daily,23,0
335,20,monthly,monthly,21,0
336,13,annually,daily,25,0
337,19,annually,daily,25,1
338,11,annually,monthly,28,0
339,35,monthly,weekly,27,0
340,34,annually,monthly,17,0
341,4,monthly,daily,15,0
342,13,monthly,daily,16,0
343,2,monthly,weekly,15,0
344,1,monthly,monthly,15,0
345,25,monthly,weekly,3,1
346,6,monthly,weekly,22,1
347,7,monthly,weekly,25,0
348,4,monthly,daily,14,0
349,35,annually,daily,28,0
350,34,annually,daily,8,0
351,29,monthly,weekly,17,0
352,5,annually,monthly,5,0
353,27,monthly,daily,19,0
354,33,annually,weekly,5,0
355,10,monthly,weekly,15,0
356,6,annually,daily,26,1
357,34,annually,monthly,14,1
358,8,monthly,monthly,15,0
359,31,annually,monthly,22,0
360,9,annually,monthly,4,0
361,21,annually,monthly,22,0
362,8,annually,monthly,4,0
363,4,monthly,monthly,10,0
364,22,monthly,monthly,26,0
365,28,monthly,monthly,2,0
366,4,monthly,weekly,14,0
367,21,annually,daily,6,0
368,8,monthly,monthly,17,0
369,20,monthly,daily,8,0
370,32,annually,daily,11,0
371,1,annually,weekly,0,0
372,6,monthly,daily,18,0
373,28,monthly,daily,24,0
374,31,annually,weekly,3,1
375,10,annually,weekly,16,1
376,20,monthly,weekly,3,0
377,8,monthly,weekly,27,1
378,22,annually,weekly,27,0
379,29,monthly,weekly,0,0
380,9,monthly,weekly,11,0
381,1,annually,monthly,27,0
382,26,monthly,monthly,3,0
383,11,monthly,daily,7,0
384,35,annually,weekly,18,0
385,24,annually,weekly,13,0
386,33,monthly,daily,0,0
387,20,annually,daily,20,0
388,27,monthly,monthly,14,0
389,15,monthly,monthly,22,0
390,33,monthly,monthly,2,0
391,7,annually,weekly,7,1
392,34,annually,weekly,16,0
393,5,annually,daily,26,0
394,30,monthly,monthly,3,0
395,28,annually,daily,0,0
396,18,monthly,weekly,17,1
397,3,annually,weekly,29,0
398,21,monthly,monthly,24,0
399,16,annually,weekly,20,0
400,5,annually,weekly,28,0
401,14,monthly,monthly,12,0
402,31,annually,daily,4,0
403,24,monthly,daily,17,0
404,35,annually,weekly,7,0
405,10,annually,daily,15,0
406,27,annually,monthly,7,0
407,27,annually,monthly,18,1
408,23,monthly,monthly,20,0
409,13,monthly,monthly,6,0
410,16,annually,monthly,26,0
411,35,annually,weekly,20,0
412,27,annually,monthly,17,0
413,17,annually,monthly,7,1
414,1,annually,weekly,15,1
415,11,monthly,monthly,22,0
416,12,monthly,weekly,2,0
417,14,annually,weekly,26,0
418,8,monthly,weekly,13,0
419,31,monthly,monthly,10,1
420,7,annually,daily,23,0
421,31,annually,daily,10,0
422,16,monthly,monthly,16,0
423,19,annually,monthly,13,0
424,8,annually,daily,17,0
425,29,annually,daily,25,1
426,2,annually,monthly,13,0
427,3,annually,monthly,9,0
428,29,annually,monthly,9,0
429,15,monthly,daily,26,0
430,28,monthly,weekly,11,0
431,32,annually,daily,14,0
432,30,monthly,daily,16,0
433,30,annually,monthly,23,0
434,34,annually,weekly,13,0
435,13,annually,weekly,26,0
436,33,monthly,weekly,3,0
437,17,monthly,weekly,3,0
438,3,annually,weekly,4,0
439,9,annually,daily,28,0
440,11,monthly,daily,14,1
441,27,annually,monthly,9,0
442,28,annually,weekly,3,0
443,2,monthly,daily,10,0
444,1,annually,weekly,10,1
445,6,monthly,daily,4,0
446,25,monthly,weekly,8,1
447,35,annually,weekly,1,0
448,16,monthly,monthly,5,0
449,4,annually,weekly,26,0
450,20,annually,monthly,7,0
451,25,monthly,monthly,9,0
452,7,monthly,monthly,7,0
453,21,monthly,daily,22,0
454,7,annually,daily,12,0
455,29,annually,daily,24,1
456,7,annually,monthly,29,0
457,3,monthly,weekly,17,1
458,29,annually,weekly,1,1
459,29,annually,monthly,7,0
460,6,annually,weekly,1,0
461,10,monthly,weekly,25,1
462,14,annually,weekly,0,0
463,22,monthly,monthly,20,0
464,32,annually,daily,18,0
465,18,annually,monthly,6,0
466,9,annually,monthly,24,0
467,26,monthly,monthly,5,1
468,22,monthly,daily,15,0
469,23,annually,weekly,6,1
470,17,monthly,monthly,8,0
471,26,monthly,daily,15,0
472,2,monthly,monthly,1,1
473,6,annually,weekly,13,0
474,7,annually,daily,13,1
475,13,annually,monthly,2,0
476,27,monthly,monthly,6,0
477,11,annually,monthly,18,0
478,15,annually,daily,14,0
479,9,monthly,daily,7,0
480,8,annually,monthly,7,0
481,6,monthly,daily,19,0
482,4,monthly,weekly,2,0
483,11,monthly,weekly,7,0
484,28,monthly,daily,14,0
485,26,monthly,weekly,12,0
486,4,monthly,daily,27,0
487,15,monthly,monthly,18,1
488,19,monthly,weekly,18,0
489,6,annually,daily,29,0
490,5,monthly,monthly,26,0
491,18,annually,monthly,2,0
492,6,monthly,weekly,16,1
493,31,monthly,monthly,21,0
494,25,monthly,daily,6,0
495,4,annually,daily,11,0
496,6,monthly,daily,11,0
497,25,annually,weekly,19,0
498,34,annually,weekly,23,0
499,19,monthly,monthly,24,0
500,34,annually,daily,29,0
501,15,monthly,daily,15,0
502,8,monthly,weekly,13,1
503,34,annually,weekly,4,0
504,18,monthly,weekly,21,0
505,30,monthly,weekly,28,0
506,13,annually,weekly,23,0
507,33,annually,monthly,9,0
508,35,annually,daily,9,0
509,24,monthly,monthly,19,0
510,26,annually,monthly,7,0
511,1,monthly,monthly,3,1
512,13,annually,weekly,22,0
513,10,annually,monthly,1,0
514,19,monthly,daily,4,0
515,5,monthly,weekly,9,0
516,8,annually,monthly,18,0
517,4,annually,daily,27,0
518,13,annually,monthly,19,0
519,19,annually,monthly,1,0
520,8,monthly,weekly,12,1
521,27,monthly,daily,17,0
522,30,annually,weekly,21,0
523,4,monthly,monthly,9,1
524,11,annually,monthly,16,0
525,21,annually,monthly,5,0
526,2,monthly,monthly,22,0
527,21,monthly,daily,24,0
528,17,annually,weekly,2,0
529,29,monthly,weekly,23,0
530,27,monthly,weekly,24,0
531,24,monthly,daily,6,0
532,3,annually,monthly,24,0
533,10,monthly,daily,29,0
534,3,monthly,daily,18,1
535,26,annually,daily,11,0
536,27,annually,weekly,15,0
537,5,annually,weekly,14,1
538,11,annually,monthly,19,0
539,13,annually,daily,9,1
540,34,annually,weekly,9,0
541,33,annually,monthly,27,0
542,34,annually,monthly,16,0
543,27,annually,daily,29,0
544,26,annually,weekly,29,0
545,25,monthly,daily,21,0
546,19,monthly,monthly,18,0
547,21,annually,monthly,2,0
548,31,monthly,daily,2,0
549,29,monthly,daily,2,0
550,9,annually,weekly,15,0
551,19,monthly,weekly,5,0
552,26,annually,weekly,20,0
553,25,monthly,weekly,18,1
554,29,annually,monthly,24,0
555,25,monthly,daily,24,0
556,19,annually,daily,21,1
557,4,annually,daily,7,0
558,20,monthly,weekly,2,0
559,1,annually,daily,9,0
560,11,annually,daily,19,0
561,4,monthly,daily,2,0
562,7,monthly,daily,5,0
563,28,annually,daily,17,0
564,7,monthly,weekly,14,0
565,20,monthly,daily,17,0
566,35,monthly,daily,28,0
567,21,annually,weekly,20,0
568,1,annually,daily,3,0
569,3,annually,monthly,15,0
570,34,monthly,daily,14,0
571,13,annually,weekly,6,0
572,16,annually,monthly,0,0
573,34,annually,daily,8,0
574,24,annually,weekly,8,0
575,13,monthly,weekly,13,0
576,6,monthly,daily,12,1
577,2,annually,monthly,11,0
578,11,monthly,monthly,4,0
579,7,annually,monthly,2,0
580,7,monthly,daily,24,0
581,12,monthly,weekly,14,1
582,22,annually,daily,2,0
583,3,annually,monthly,22,0
584,13,monthly,monthly,13,0
585,30,annually,weekly,19,0
586,10,annually,monthly,9,0
587,9,monthly,monthly,5,0
588,6,annually,weekly,23,1
589,2,annually,monthly,20,0
590,16,monthly,daily,22,1
591,13,annually,weekly,13,0
592,13,annually,monthly,26,0
593,22,annually,daily,22,1
594,19,annually,monthly,12,0
595,26,annually,daily,17,1
596,14,monthly,weekly,1,0
597,31,annually,monthly,9,0
598,29,annually,monthly,13,0
599,22,monthly,weekly,25,1
600,7,annually,daily,7,0
601,27,annually,weekly,8,0
602,31,monthly,daily,2,0
603,6,annually,daily,7,0
604,16,monthly,daily,29,0
605,32,monthly,weekly,20,0
606,33,annually,daily,26,0
607,17,monthly,weekly,3,0
608,33,annually,monthly,8,0
609,11,annually,daily,12,0
610,13,annually,weekly,3,0
611,30,annually,monthly,21,0
612,1,annually,daily,23,1
613,30,monthly,weekly,1,0
614,27,annually,weekly,18,0
615,23,monthly,weekly,7,0
616,20,monthly,daily,24,1
617,6,monthly,daily,9,1
618,20,annually,weekly,4,0
619,6,annually,weekly,11,1
620,29,monthly,daily,13,0
621,13,monthly,monthly,3,0
622,27,annually,monthly,18,0
623,20,monthly,monthly,9,0
624,13,annually,weekly,22,0
625,8,monthly,daily,6,0
626,17,annually,weekly,19,1
627,30,monthly,weekly,0,0
628,1,annually,daily,15,0
629,24,annually,daily,18,0
630,16,monthly,daily,4,0
631,11,monthly,daily,25,0
632,4,annually,weekly,25,0
633,4,monthly,weekly,10,0
634,17,annually,daily,19,0
635,10,annually,monthly,27,0
636,21,annually,weekly,6,1
637,18,monthly,monthly,29,0
638,10,monthly,monthly,11,0
639,16,monthly,monthly,26,0
640,15,monthly,daily,18,0
641,34,annually,daily,20,0
642,5,monthly,monthly,25,1
643,17,monthly,monthly,22,0
644,8,annually,weekly,24,0
645,24,annually,daily,11,0
646,28,monthly,daily,6,0
647,8,monthly,weekly,23,0
648,23,monthly,daily,13,1
649,35,monthly,weekly,2,0
650,31,monthly,monthly,16,1
651,17,annually,daily,20,0
652,28,annually,weekly,23,0
653,12,monthly,monthly,0,0
654,24,annually,daily,3,0
655,15,monthly,monthly,25,0
656,31,annually,weekly,15,0
657,27,annually,monthly,4,0
658,35,monthly,weekly,17,0
659,18,monthly,weekly,11,1
660,8,monthly,weekly,11,1
661,5,monthly,monthly,6,1
662,14,annually,weekly,27,0
663,20,monthly,daily,26,0
664,9,monthly,daily,4,0
665,33,annually,monthly,29,0
666,18,annually,monthly,5,0
667,6,monthly,daily,25,1
668,2,annually,weekly,0,0
669,30,annually,daily,10,1
670,6,monthly,weekly,26,0
671,17,annually,daily,7,0
672,23,annually,monthly,11,0
673,31,annually,weekly,24,0
674,20,annually,weekly,12,0
675,5,annually,monthly,2,1
676,21,annually,weekly,14,1
677,11,annually,weekly,26,1
678,4,monthly,daily,9,1
679,23,annually,monthly,6,1
680,30,monthly,weekly,12,0
681,18,annually,weekly,21,0
682,31,monthly,daily,14,1
683,30,annually,weekly,3,0
684,34,annually,weekly,1,0
685,31,monthly,monthly,14,0
686,25,annually,daily,19,0
687,17,annually,weekly,27,0
688,30,monthly,weekly,14,0
689,2,annually,monthly,23,1
690,24,monthly,daily,18,0
691,9,monthly,daily,9,0
692,1,monthly,monthly,2,0
693,24,annually,weekly,5,0
694,27,annually,daily,24,0
695,26,monthly,monthly,16,1
696,26,monthly,daily,2,0
697,7,annually,weekly,0,0
698,25,monthly,weekly,24,0
699,16,annually,weekly,11,0
700,18,annually,daily,5,0
701,17,monthly,daily,24,1
702,6,annually,weekly,1,0
703,20,annually,weekly,10,0
704,23,annually,monthly,21,0
705,12,annually,daily,25,1
706,12,monthly,monthly,20,1
707,34,monthly,weekly,19,0
708,8,monthly,daily,29,0
709,27,monthly,monthly,2,0
710,8,monthly,daily,19,0
711,33,annually,monthly,6,0
712,19,monthly,weekly,0,0
713,24,monthly,monthly,5,1
714,22,monthly,daily,16,0
715,3,monthly,weekly,9,1
716,9,annually,monthly,3,0
717,11,annually,daily,26,0
718,6,annually,monthly,1,0
719,2,annually,weekly,15,0
720,6,annually,daily,6,0
721,6,annually,weekly,4,0
722,25,annually,monthly,0,0
723,16,annually,monthly,22,1
724,21,annually,daily,18,0
725,10,monthly,weekly,20,0
726,5,monthly,daily,8,0
727,25,monthly,daily,15,0
728,31,annually,weekly,16,0
729,3,annually,daily,15,1
730,20,monthly,monthly,4,1
731,4,monthly,weekly,21,0
732,14,annually,weekly,17,0
733,12,monthly,daily,20,0
734,14,monthly,daily,7,0
735,18,monthly,weekly,21,0
736,27,monthly,daily,6,0
737,7,monthly,weekly,22,1
738,35,monthly,monthly,28,1
739,22,monthly,monthly,25,1
740,21,monthly,daily,10,0
741,18,annually,monthly,0,1
742,26,annually,monthly,10,1
743,22,monthly,weekly,3,0
744,5,monthly,monthly,23,0
745,35,monthly,weekly,4,0
746,12,annually,weekly,19,0
747,35,annually,daily,17,1
748,34,monthly,daily,13,0
749,20,monthly,monthly,7,0
750,12,monthly,daily,7,0
751,34,monthly,monthly,4,1
752,26,annually,weekly,28,0
753,34,monthly,daily,18,0
754,32,annually,daily,6,0
755,7,annually,weekly,24,0
756,26,annually,weekly,11,0
757,25,annually,daily,11,0
758,17,annually,daily,7,0
759,24,monthly,weekly,29,0
760,27,monthly,daily,23,0
761,4,annually,daily,8,0
762,27,monthly,monthly,2,0
763,30,annually,monthly,16,0
764,3,monthly,daily,26,1
765,6,monthly,daily,7,0
766,8,annually,daily,26,0
767,16,annually,daily,25,1
768,15,annually,monthly,29,0
769,8,annually,weekly,9,0
770,30,annually,weekly,7,0
771,12,annually,weekly,29,1
772,4,monthly,daily,21,0
773,14,annually,monthly,9,0
774,25,monthly,daily,9,0
775,5,monthly,daily,2,0
776,23,monthly,weekly,10,0
777,30,annually,daily,17,0
778,12,monthly,daily,13,0
779,15,annually,daily,7,0
780,19,annually,monthly,17,0
781,26,annually,monthly,11,1
782,4,monthly,daily,29,0
783,8,annually,daily,10,0
784,30,annually,daily,21,0
785,15,annually,daily,12,0
786,12,monthly,monthly,3,0
787,10,monthly,daily,8,0
788,12,annually,monthly,11,1
789,17,monthly,daily,15,0
790,2,monthly,weekly,0,0
791,19,annually,daily,27,0
792,29,monthly,daily,11,0
793,1,annually,weekly,13,0
794,22,monthly,weekly,13,0
795,25,annually,monthly,4,0
796,10,monthly,weekly,7,0
797,9,monthly,daily,12,0
798,19,monthly,monthly,0,1
799,12,monthly,daily,19,0
800,29,monthly,daily,27,0
801,18,annually,monthly,8,0
802,16,monthly,weekly,10,0
803,4,monthly,daily,1,0
804,25,annually,weekly,26,0
805,22,annually,weekly,16,0
806,29,monthly,monthly,15,0
807,22,monthly,daily,2,0
808,15,monthly,weekly,25,1
809,2,annually,monthly,13,0
810,13,monthly,weekly,21,0
811,12,monthly,weekly,8,0
812,26,monthly,monthly,0,0
813,12,annually,weekly,23,1
814,27,annually,weekly,27,0
815,35,annually,weekly,20,0
816,2,annually,weekly,16,0
817,17,annually,weekly,21,0
818,2,monthly,daily,6,0
819,17,monthly,daily,18,0
820,34,monthly,weekly,23,0
821,34,annually,monthly,4,1
822,9,monthly,weekly,8,0
823,14,annually,weekly,17,0
824,20,monthly,weekly,18,0
825,33,monthly,weekly,18,0
826,24,annually,weekly,5,0
827,5,monthly,weekly,25,0
828,32,annually,daily,13,1
829,23,annually,weekly,28,0
830,1,monthly,daily,25,0
831,32,annually,weekly,27,0
832,16,annually,daily,10,1
833,20,annually,monthly,21,0
834,16,annually,daily,20,0
835,13,annually,weekly,6,0
836,11,monthly,daily,26,0
837,17,annually,daily,16,1
838,7,monthly,monthly,29,0
839,22,monthly,weekly,0,0
840,31,monthly,daily,26,0
841,4,annually,weekly,21,0
842,17,monthly,monthly,1,0
843,1,annually,weekly,3,0
844,2,annually,weekly,19,0
845,33,annually,monthly,2,0
846,19,annually,weekly,21,0
847,19,monthly,daily,17,0
848,23,monthly,daily,20,0
849,16,annually,daily,21,0
850,16,annually,daily,7,0
851,29,annually,weekly,9,0
852,8,monthly,daily,4,0
853,28,annually,weekly,9,0
854,25,annually,daily,15,0
855,25,annually,monthly,23,0
856,13,annually,weekly,20,0
857,14,annually,daily,11,0
858,19,annually,monthly,0,1
859,15,monthly,weekly,28,0
860,15,annually,daily,6,0
861,21,monthly,weekly,3,0
862,8,annually,monthly,25,0
863,28,annually,monthly,9,1
864,16,annually,daily,16,1
865,24,monthly,monthly,23,0
866,12,annually,monthly,20,0
867,14,monthly,daily,17,0
868,30,annually,monthly,7,0
869,32,annually,monthly,12,0
870,19,monthly,daily,15,0
871,5,monthly,monthly,27,0
872,29,monthly,daily,28,0
873,2,monthly,daily,5,0
874,24,monthly,monthly,19,0
875,17,annually,monthly,15,0
876,27,annually,weekly,18,1
877,3,annually,monthly,8,0
878,18,annually,weekly,16,0
879,21,annually,weekly,14,0
880,1,monthly,weekly,20,0
881,7,annually,weekly,17,0
882,23,monthly,weekly,17,0
883,16,monthly,weekly,24,0
884,11,annually,weekly,23,0
885,35,annually,monthly,5,0
886,22,monthly,weekly,8,0
887,35,annually,weekly,20,0
888,33,monthly,monthly,21,0
889,28,annually,monthly,21,1
890,11,annually,monthly,10,0
891,5,monthly,daily,19,0
892,18,monthly,weekly,16,0
893,4,annually,monthly,8,0
894,31,annually,monthly,2,0
895,24,annually,monthly,4,1
896,30,monthly,monthly,9,0
897,31,monthly,daily,20,0
898,12,monthly,monthly,19,0
899,3,monthly,daily,22,0
900,30,monthly,monthly,1,0
901,8,annually,monthly,10,0
902,10,monthly,weekly,19,0
903,24,annually,weekly,25,0
904,1,monthly,weekly,28,0
905,18,annually,weekly,19,0
906,22,annually,weekly,18,0
907,31,annually,monthly,25,1
908,27,monthly,daily,23,0
909,16,monthly,daily,12,0
910,18,annually,daily,18,0
911,11,annually,weekly,9,0
912,18,annually,daily,7,1
913,4,monthly,monthly,27,0
914,10,annually,weekly,0,0
915,30,annually,monthly,19,0
916,4,annually,monthly,20,0
917,8,monthly,monthly,6,0
918,17,annually,monthly,14,1
919,35,annually,weekly,29,0
